h	k	l	d(Å)	F(real)	F(imag)	|F|	2θ	I	M	ID(λ)	Phase
-1	0	-1	4.782582	-75.754351	-10.064826	76.42	18.53719	77.83415	1	1	1
0	1	1	4.782582	-75.75435	-10.064827	76.42	18.53719	77.83415	1	1	1
1	0	1	4.782582	-75.754351	-10.064826	76.42	18.53719	77.83415	1	1	1
-1	0	1	4.782582	-75.754351	-10.064825	76.42	18.53719	77.83415	1	1	1
0	-1	1	4.782582	75.754351	10.064826	76.42	18.53719	77.83415	1	1	1
0	1	-1	4.782582	75.754351	10.064826	76.42	18.53719	77.83415	1	1	1
1	0	-1	4.782582	-75.754351	-10.064826	76.42	18.53719	77.83415	1	1	1
0	-1	-1	4.782582	-75.75435	-10.064825	76.42	18.53719	77.83415	1	1	1
1	-1	2	2.960153	0.546683	0.01041	0.546783	30.16645	0.00144	1	1	1
1	1	2	2.960153	-0.546687	-0.010407	0.546786	30.16645	0.00144	1	1	1
1	1	-2	2.960153	0.546681	0.010414	0.54678	30.16645	0.00144	1	1	1
1	-1	-2	2.960153	-0.546683	-0.010409	0.546783	30.16645	0.00144	1	1	1
-1	1	2	2.960153	-0.546683	-0.010419	0.546783	30.16645	0.00144	1	1	1
-1	-1	2	2.960153	0.546681	0.010415	0.54678	30.16645	0.00144	1	1	1
-1	-1	-2	2.960153	-0.546686	-0.010422	0.546786	30.16645	0.00144	1	1	1
-1	1	-2	2.960153	0.546683	0.010419	0.546783	30.16645	0.00144	1	1	1
-2	0	0	2.86875	4.029147	0.005069	4.02915	31.15159	0.07277	1	1	1
0	-2	0	2.86875	-4.029147	-0.005069	4.02915	31.15159	0.07277	1	1	1
2	0	0	2.86875	4.029147	0.005069	4.02915	31.15159	0.07277	1	1	1
0	2	0	2.86875	-4.029147	-0.005069	4.02915	31.15159	0.07277	1	1	1
0	1	-3	2.57809	-49.968401	-9.840812	50.9282	34.76937	9.16207	1	1	1
1	0	3	2.57809	-49.968408	-9.840806	50.9282	34.76937	9.16207	1	1	1
0	1	3	2.57809	49.968417	9.840809	50.9282	34.76937	9.16208	1	1	1
1	0	-3	2.57809	-49.968409	-9.840813	50.9282	34.76937	9.16207	1	1	1
0	-1	3	2.57809	-49.968401	-9.840806	50.9282	34.76937	9.16207	1	1	1
-1	0	-3	2.57809	-49.968408	-9.840813	50.9282	34.76937	9.16207	1	1	1
0	-1	-3	2.57809	49.968417	9.840809	50.9282	34.76937	9.16208	1	1	1
-1	0	3	2.57809	-49.968409	-9.840806	50.9282	34.76937	9.16207	1	1	1
1	2	1	2.460114	-74.641181	-9.982582	75.3058	36.494	18.01747	1	1	1
1	-2	1	2.460114	-74.641209	-9.982581	75.3058	36.494	18.01749	1	1	1
-1	2	1	2.460114	-74.641206	-9.982581	75.3058	36.494	18.01748	1	1	1
2	1	1	2.460114	74.641192	9.982583	75.3058	36.494	18.01748	1	1	1
1	-2	-1	2.460114	-74.641206	-9.98258	75.3058	36.494	18.01748	1	1	1
2	-1	-1	2.460114	74.641209	9.982581	75.3058	36.494	18.01749	1	1	1
2	1	-1	2.460114	-74.641209	-9.982581	75.3058	36.494	18.01749	1	1	1
2	-1	1	2.460114	-74.641209	-9.98258	75.3058	36.494	18.01749	1	1	1
-1	2	-1	2.460114	-74.641209	-9.98258	75.3058	36.494	18.01749	1	1	1
1	2	-1	2.460114	-74.641197	-9.98258	75.3058	36.494	18.01748	1	1	1
-1	-2	1	2.460114	-74.641197	-9.982581	75.3058	36.494	18.01748	1	1	1
-2	1	-1	2.460114	-74.641209	-9.982581	75.3058	36.494	18.01749	1	1	1
-2	1	1	2.460114	74.641209	9.982581	75.3058	36.494	18.01749	1	1	1
-2	-1	1	2.460114	-74.641209	-9.98258	75.3058	36.494	18.01749	1	1	1
-2	-1	-1	2.460114	74.641192	9.982578	75.3058	36.494	18.01748	1	1	1
-1	-2	-1	2.460114	-74.641181	-9.982579	75.3058	36.494	18.01747	1	1	1
2	0	-2	2.391291	65.114866	19.359325	67.9318	37.58306	13.7427	1	1	1
0	-2	2	2.391291	65.114867	19.359325	67.9318	37.58306	13.7427	1	1	1
0	2	-2	2.391291	65.114867	19.359324	67.9318	37.58306	13.7427	1	1	1
-2	0	2	2.391291	65.114866	19.359324	67.9318	37.58306	13.7427	1	1	1
0	2	2	2.391291	65.114868	19.359324	67.9318	37.58306	13.7427	1	1	1
0	-2	-2	2.391291	65.114868	19.359326	67.9318	37.58306	13.7427	1	1	1
-2	0	-2	2.391291	65.114866	19.359325	67.9318	37.58306	13.7427	1	1	1
2	0	2	2.391291	65.114866	19.359324	67.9318	37.58306	13.7427	1	1	1
0	0	-4	2.164375	204.658834	20.212825	205.655	41.69696	100.0	1	1	1
0	0	4	2.164375	204.658834	20.212825	205.655	41.69696	100.0	1	1	1
2	2	0	2.028513	213.147278	20.192727	214.102	44.63449	93.01614	1	1	1
-2	-2	0	2.028513	213.147278	20.192727	214.102	44.63449	93.01614	1	1	1
-2	2	0	2.028513	213.147277	20.192727	214.102	44.63449	93.01614	1	1	1
2	-2	0	2.028513	213.147277	20.192727	214.102	44.63449	93.01614	1	1	1
2	1	3	1.917537	-49.636732	-9.759469	50.5871	47.37042	4.53895	1	1	1
1	2	-3	1.917537	-49.636761	-9.759472	50.5871	47.37042	4.53896	1	1	1
2	-1	-3	1.917537	-49.636756	-9.759473	50.5871	47.37042	4.53896	1	1	1
2	-1	3	1.917537	49.636745	9.759471	50.5871	47.37042	4.53896	1	1	1
2	1	-3	1.917537	49.636759	9.759474	50.5871	47.37042	4.53896	1	1	1
-1	-2	3	1.917537	-49.636761	-9.759474	50.5871	47.37042	4.53896	1	1	1
-1	2	3	1.917537	-49.636756	-9.759477	50.5871	47.37042	4.53896	1	1	1
1	-2	3	1.917537	-49.636765	-9.759474	50.5871	47.37042	4.53896	1	1	1
1	2	3	1.917537	-49.636752	-9.759475	50.5871	47.37042	4.53896	1	1	1
-2	1	3	1.917537	-49.636756	-9.759473	50.5871	47.37042	4.53896	1	1	1
1	-2	-3	1.917537	-49.636756	-9.759468	50.5871	47.37042	4.53896	1	1	1
-2	-1	-3	1.917537	-49.636732	-9.759477	50.5871	47.37042	4.53895	1	1	1
-1	-2	-3	1.917537	-49.636752	-9.75947	50.5871	47.37042	4.53896	1	1	1
-2	1	-3	1.917537	49.636745	9.759475	50.5871	47.37042	4.53896	1	1	1
-2	-1	3	1.917537	49.636759	9.759472	50.5871	47.37042	4.53896	1	1	1
-1	2	-3	1.917537	-49.636765	-9.759471	50.5871	47.37042	4.53896	1	1	1
0	3	1	1.867477	66.752626	9.899386	67.4827	48.72142	7.57756	1	1	1
3	0	1	1.867477	-66.752625	-9.899389	67.4827	48.72142	7.57756	1	1	1
0	3	-1	1.867477	-66.752613	-9.899386	67.4827	48.72142	7.57756	1	1	1
3	0	-1	1.867477	-66.752617	-9.899388	67.4827	48.72142	7.57756	1	1	1
0	-3	-1	1.867477	66.752626	9.89939	67.4827	48.72142	7.57756	1	1	1
